datetime,next_change_id,git_hyp
2019-09-10 11:00:01,480676986-497234450-469528110-536979765-510247632,28743
2019-09-10 12:00:00,480719988-497278568-469570817-537020612-510295946,31237
2019-09-10 13:00:00,480767301-497325329-469615676-537076715-510341289,33973
2019-09-10 14:00:00,480818398-497376736-469664546-537132554-510398816,37431
2019-09-10 15:00:00,480871876-497432464-469716093-537190423-510455835,41428
2019-09-10 16:00:01,480924635-497489444-469766060-537249342-510513993,46191
2019-09-10 17:00:00,480976969-497541506-469817426-537311091-510569273,50020
2019-09-10 18:00:01,481027924-497603000-469867292-537371610-510622496,53416
2019-09-10 19:00:00,481080957-497658968-469916607-537426715-510675145,55787
2019-09-10 20:00:00,481132790-497709088-469965194-537480329-510728989,55995
2019-09-10 21:00:00,481181327-497757883-470010751-537533460-510777596,52696
2019-09-10 22:00:00,481222716-497801354-470050723-537581434-510823082,46906
2019-09-10 23:00:00,481259976-497840681-470087125-537623361-510863210,40844
2019-09-11 00:00:00,481293668-497877068-470119954-537662274-510899526,36215
2019-09-11 01:00:00,481328368-497913329-470152702-537699298-510934149,34245
2019-09-11 02:00:00,481361092-497952798-470186263-537735803-510978054,33015
2019-09-11 03:00:00,481393947-497989967-470218399-537776049-511012148,31163
2019-09-11 04:00:00,481428033-498023451-470252420-537812206-511051774,28908
2019-09-11 05:00:00,481461839-498057526-470287339-537847662-511084415,26096
2019-09-11 06:00:00,481495964-498091462-470320490-537882623-511117235,24161
2019-09-11 07:00:00,481530160-498123905-470354073-537917624-511149834,23302
2019-09-11 08:00:00,481566530-498158579-470389466-537954413-511184241,21745
2019-09-11 09:00:00,481602445-498194064-470423499-537995099-511220300,21860
2019-09-11 10:00:00,481640198-498230481-470460504-538036574-511257989,24325
2019-09-11 11:00:00,481679289-498269364-470496716-538077519-511298620,26831
2019-09-11 12:00:00,481740455-498312763-470536537-538124592-511341322,29062
2019-09-11 13:00:00,481787652-498359224-470581342-538187526-511388594,31679
2019-09-11 14:00:00,481838612-498408452-470627733-538240912-511439807,34635
2019-09-11 15:00:00,481910738-498463546-470678299-538298170-511495093,38594
2019-09-11 16:00:01,481972218-498520700-470730159-538359517-511556441,42526
2019-09-11 17:00:00,482030035-498574910-470780170-538418662-511614661,46869
2019-09-11 18:00:00,482083358-498629020-470830660-538476409-511672383,49967
2019-09-11 19:00:00,482136232-498683540-470881656-538530528-511724407,51886
2019-09-11 20:00:00,482184274-498733653-470931606-538586856-511782719,52279
2019-09-11 21:12:58,482239896-498790165-470983186-538647259-511844185,49113
2019-09-11 22:00:00,482271866-498823177-471012706-538682298-511880230,44300
2019-09-11 23:00:00,482306040-498860894-471050398-538723672-511922952,37754
2019-09-12 00:00:00,482342254-498896792-471083078-538763350-511961458,33844
2019-09-12 01:00:00,482379314-498930828-471115033-538800945-511997477,31568
2019-09-12 02:00:00,482417209-498966960-471148535-538841817-512031278,30769
2019-09-12 03:00:00,482452407-499002615-471182456-538882927-512066566,29315
2019-09-12 04:00:00,482485549-499037204-471215963-538920303-512101674,27148
2019-09-12 05:00:00,482519419-499071896-471248260-538955872-512134595,24664
2019-09-12 06:00:00,482552776-499105843-471279565-538993240-512166758,22638
2019-09-12 07:00:00,482588306-499140130-471314114-539031887-512201609,21912
2019-09-12 08:00:00,482624032-499175846-471348475-539070985-512235994,22600
2019-09-12 09:00:00,482663039-499214778-471384374-539112290-512274012,23974
2019-09-12 10:00:00,482703702-499251260-471419696-539153127-512314655,25670
2019-09-12 11:00:00,482743442-499289349-471456605-539195194-512354790,27366
2019-09-12 12:00:00,482784215-499329772-471496587-539240665-512396934,29396
2019-09-12 13:00:00,482832050-499373368-471538370-539288925-512443503,32028
2019-09-12 14:00:00,482878994-499421639-471582675-539358005-512493837,34654
2019-09-12 15:00:00,482927473-499472033-471629262-539413775-512545708,38113
2019-09-12 16:00:00,482978470-499524397-471676893-539467689-512599115,41781
2019-09-12 17:00:00,483027565-499578433-471725010-539524404-512654143,45778
2019-09-12 18:00:00,483081375-499638443-471773699-539592331-512704713,49426
2019-09-12 19:00:00,483128436-499694023-471818198-539653721-512753186,51060
2019-09-12 20:00:00,483173893-499748339-471863158-539719267-512806461,51129
2019-09-12 21:00:00,483220729-499796008-471905981-539771641-512855881,47882
2019-09-12 22:00:00,483262469-499838855-471943946-539817889-512900290,42699
2019-09-12 23:00:00,483298068-499878793-471978075-539857421-512936849,37219
2019-09-13 00:00:00,483328434-499911458-472006249-539892493-512969655,31987
2019-09-13 01:00:00,483357762-499941694-472034280-539928737-512999851,29699
2019-09-13 02:00:00,483387955-499972813-472062205-539963078-513030767,28521
2019-09-13 03:00:00,483418132-500004830-472092683-539998294-513064429,27288
2019-09-13 04:00:00,483449066-500036636-472121954-540035638-513096895,25122
2019-09-13 05:00:00,483479048-500068462-472151729-540068590-513128073,21983
2019-09-13 06:00:00,483510590-500102238-472182336-540101512-513160026,20944
2019-09-13 07:00:00,483542795-500135412-472214244-540135921-513194646,20531
2019-09-13 08:00:00,483577559-500169949-472250966-540172509-513231119,21347
2019-09-13 09:00:00,483614411-500207134-472286695-540210937-513269956,22614
2019-09-13 10:00:00,483646634-500238996-472322668-540244775-513307025,24239
2019-09-13 11:00:00,483689757-500284508-472371306-540291828-513353774,26358
2019-09-13 12:00:00,483731367-500363538-472414684-540337377-513398987,28587
2019-09-13 13:00:00,483778453-500407975-472456773-540385162-513446882,31292
2019-09-13 14:00:00,483831877-500472856-472506135-540441994-513503231,34407
2019-09-13 15:00:00,483878719-500540085-472552750-540494947-513555240,37458
2019-09-13 16:00:00,483930086-500593306-472605778-540551611-513612530,40759
2019-09-13 17:00:00,483980186-500646086-472654948-540609371-513667426,43140
2019-09-13 18:00:00,484032472-500697438-472704195-540666939-513719528,45139
2019-09-13 19:00:00,484075814-500743972-472748987-540716201-513776642,46323
2019-09-13 20:00:00,484124013-500795532-472797255-540773514-513835579,47248
2019-09-13 21:00:00,484166324-500840147-472839515-540820427-513880839,46816
2019-09-13 22:00:00,484208956-500883124-472883357-540869789-513925902,44411
2019-09-13 23:00:00,484246362-500923441-472918229-540911992-513965223,39949
2019-09-14 00:00:00,484280985-500959380-472948237-540949412-513999764,35017
2019-09-14 01:00:00,484313631-500994873-472977043-540991859-514035468,31270
2019-09-14 02:00:00,484347863-501030548-473007994-541027305-514071188,29113
2019-09-14 03:00:00,484382555-501067333-473042253-541067231-514108464,28297
2019-09-14 04:00:00,484416657-501105020-473079242-541108088-514147029,27270
2019-09-14 05:00:00,484453966-501143975-473115781-541147298-514188273,26192
2019-09-14 06:00:00,484495210-501184729-473152612-541187466-514227230,25714
2019-09-14 07:00:00,484540304-501228747-473193614-541276712-514268435,26509
2019-09-14 08:00:00,484584172-501275758-473239832-541341257-514314167,28468
2019-09-14 09:00:00,484631498-501323275-473285038-541397619-514361936,31644
2019-09-14 10:00:00,484681459-501372391-473333190-541449095-514411072,34794
2019-09-14 11:00:00,484733021-501422522-473381176-541503147-514461393,37060
2019-09-14 12:00:00,484783782-501475240-473431039-541577923-514512836,38903
2019-09-14 13:00:00,484837072-501531289-473485065-541636826-514569279,41397
2019-09-14 14:00:00,484891986-501589041-473539841-541703439-514634870,43980
2019-09-14 15:00:00,484953224-501652604-473596912-541767804-514696922,46584
2019-09-14 16:00:00,485011860-501719236-473653970-541829222-514757981,48652
2019-09-14 17:00:00,485069853-501780829-473714836-541892252-514832925,50107
2019-09-14 18:00:00,485126690-501837880-473770668-541954461-514891573,50807
2019-09-14 19:00:00,485179906-501892145-473819105-542012069-514943853,51554
2019-09-14 20:00:00,485231900-501945752-473869036-542072266-515001873,51826
2019-09-14 21:00:00,485280982-501995923-473914952-542126538-515051916,50601
2019-09-14 22:00:00,485324984-502045719-473955325-542174128-515097464,48055
2019-09-14 23:00:00,485370813-502089539-473996243-542221439-515146691,43196
2019-09-15 00:00:00,485405686-502124424-474028620-542260109-515181824,37467
2019-09-15 01:00:00,485440327-502161061-474061378-542300266-515221714,33121
2019-09-15 02:00:00,485476462-502198655-474096047-542337566-515257641,30213
2019-09-15 03:00:00,485514556-502236971-474133026-542379251-515295746,28595
2019-09-15 04:00:00,485552687-502273746-474168983-542419487-515334981,27467
2019-09-15 05:00:00,485592523-502333610-474205724-542462017-515375804,26525
2019-09-15 06:00:00,485632963-502413316-474245218-542506987-515420033,26129
2019-09-15 07:00:01,485676954-502501697-474288487-542551206-515466609,26797
2019-09-15 08:00:00,485725574-502606447-474335556-542602662-515514659,29686
2019-09-15 09:00:00,485777643-502705380-474386177-542658332-515564839,33308
2019-09-15 10:00:01,485828024-502797180-474438913-542712932-515619757,37117
2019-09-15 11:00:00,485880508-502880634-474490111-542773012-515673626,40010
2019-09-15 12:00:00,485936429-502943083-474543201-542833129-515732493,41465
2019-09-15 13:00:01,485992681-503004986-474598953-542897369-515796868,43638
2019-09-15 14:00:00,486055788-503067308-474657824-542964748-515863189,46392
2019-09-15 15:00:00,486119513-503128989-474720941-543038131-515930107,49348
2019-09-15 16:00:00,486187944-503190311-474777930-543109775-515993474,51394
2019-09-15 17:00:00,486269137-503247404-474831482-543171905-516052525,52573
2019-09-15 18:00:00,486323302-503302212-474882320-543231820-516108679,53364
2019-09-15 19:00:00,486374728-503353521-474931701-543286284-516160987,53781
2019-09-15 20:00:00,486423462-503406871-474979947-543369065-516212048,53116
2019-09-15 21:00:00,486468748-503454994-475024199-543420453-516263007,49334
2019-09-15 22:00:00,486512229-503498983-475064283-543468454-516309377,43912
2019-09-15 23:00:00,486551372-503533731-475096176-543506148-516345204,37059
2019-09-16 00:00:00,486583115-503566308-475126871-543541679-516379510,31741
2019-09-16 01:00:00,486613337-503602480-475156161-543573260-516412815,28680
2019-09-16 02:00:00,486644047-503632576-475184574-543606415-516446680,26846
2019-09-16 03:00:00,486673546-503661593-475213552-543640312-516479306,25361
2019-09-16 04:00:00,486703129-503691719-475241345-543672331-516510414,22771
2019-09-16 05:00:00,486732795-503722489-475268881-543702057-516540557,20827
2019-09-16 06:00:00,486761673-503751350-475299622-543733643-516571189,19257
2019-09-16 07:00:00,486791583-503781068-475330319-543767964-516602775,18676
2019-09-16 08:00:01,486824407-503824784-475361524-543803784-516636918,19132
2019-09-16 09:00:00,486857562-503858323-475393941-543841086-516671041,20349
2019-09-16 10:00:00,486893557-503894048-475428045-543879194-516707399,21851
2019-09-16 11:00:00,486929872-503931477-475465346-543917979-516748366,23494
2019-09-16 12:00:00,486978221-503983924-475515461-543971449-516802825,24933
2019-09-16 13:00:00,487017169-504019755-475556546-544013539-516843965,26859
2019-09-16 14:00:00,487066127-504067968-475606702-544067546-516895449,29786
2019-09-16 15:00:00,487127947-504125228-475657818-544122673-516948642,32520
2019-09-16 16:00:00,487179084-504178041-475707605-544180927-517000733,36203
2019-09-16 17:00:00,487230008-504229326-475757248-544242533-517050998,39501
2019-09-16 18:00:00,487276580-504278766-475804068-544303117-517099917,42881
2019-09-16 19:00:00,487319894-504326315-475847799-544358331-517149702,44746
2019-09-16 20:00:00,487365636-504374437-475891321-544414747-517198125,44525
2019-09-16 21:00:00,487409440-504415816-475930354-544456848-517240023,41275
2019-09-16 22:00:00,487445393-504451793-475964454-544497336-517277896,36369
2019-09-16 23:00:00,487476255-504483789-475995396-544532919-517312265,30870
2019-09-17 00:00:01,487504197-504514301-476022941-544570866-517342468,27237
2019-09-17 01:00:00,487532296-504544227-476049965-544603140-517373223,25633
2019-09-17 02:00:01,487560530-504574269-476076984-544634622-517403613,24771
2019-09-17 03:00:00,487589872-504605069-476112609-544667290-517434943,23569
2019-09-17 04:00:00,487619852-504635145-476138827-544698493-517465374,21895
2019-09-17 05:00:00,487648759-504665685-476171982-544729296-517494896,19846
2019-09-17 06:00:00,487676307-504696119-476199414-544759448-517524490,18031
2019-09-17 07:00:00,487704802-504725489-476226633-544790522-517554176,17430
2019-09-17 08:00:00,487734442-504755350-476255183-544822775-517585132,17996
2019-09-17 09:00:00,487767495-504788050-476284717-544859188-517617919,19239
2019-09-17 10:00:00,487799407-504821285-476314821-544896941-517652035,20831
2019-09-17 11:00:00,487835967-504858973-476349057-544936722-517690830,22306
2019-09-17 12:00:01,487877201-504899323-476388425-544980835-517732742,24237
2019-09-17 13:00:00,487923720-504945156-476432484-545029572-517778288,26303
2019-09-17 14:00:00,487972294-504994720-476480332-545082123-517828656,28726
2019-09-17 15:00:00,488040696-505048446-476530471-545139919-517881399,31734
2019-09-17 16:00:00,488096998-505098259-476577581-545196612-517931722,35028
2019-09-17 17:00:00,488145218-505146428-476623854-545249243-517981643,37765
2019-09-17 18:00:00,488191379-505194409-476668079-545299048-518028704,40138
2019-09-17 19:00:00,488238961-505242639-476714066-545352855-518075358,41748
2019-09-17 20:00:00,488293990-505283942-476752819-545401394-518115816,41416
2019-09-17 21:00:00,488333299-505324226-476791746-545444314-518157139,38518
2019-09-17 22:00:00,488367668-505361427-476825737-545482873-518194530,34067
2019-09-17 23:00:00,488397831-505392746-476854634-545519413-518227418,0
2019-09-18 00:00:00,488425887-505421620-476881218-545553305-518257947,25694
2019-09-18 01:00:00,488454019-505448361-476906615-545583025-518287547,23856
2019-09-18 02:00:00,488480867-505476262-476933216-545614596-518319402,22954
2019-09-18 03:00:01,488508323-505504285-476960913-545648321-518349172,21903
2019-09-18 04:00:01,488534777-505537162-476987829-545677588-518378442,20484
2019-09-18 05:00:01,488562160-505566472-477014485-545705394-518405837,18750
2019-09-18 06:00:00,488588507-505593274-477042295-545733788-518434626,17222
2019-09-18 07:00:00,488615027-505619404-477069775-545763465-518464111,16838
2019-09-18 08:00:00,488644139-505648793-477098422-545794944-518493867,17282
2019-09-18 09:00:00,488673201-505680831-477128992-545828690-518525714,18443
2019-09-18 10:00:00,488707016-505711367-477160590-545863599-518558312,19990
2019-09-18 11:00:00,488743682-505746914-477194283-545903010-518594183,21477
2019-09-18 12:00:00,488786209-505785012-477232956-545945858-518637861,23095
2019-09-18 13:00:00,488831797-505826065-477276387-545992249-518683468,25215
2019-09-18 14:00:00,488879474-505876684-477324613-546042553-518732211,27459
2019-09-18 15:00:00,488929325-505924851-477372441-546093116-518782799,30063
2019-09-18 16:00:00,488977372-505972467-477421574-546145366-518832940,33369
2019-09-18 17:00:00,489023819-506019393-477489763-546194625-518881739,36460
2019-09-18 18:00:00,489068976-506066400-477537132-546242787-518928212,38751
2019-09-18 19:00:00,489112137-506111366-477578360-546302249-518972870,40311
2019-09-18 20:00:00,489154241-506154594-477619101-546347731-519015110,39968
2019-09-18 21:00:00,489191779-506193670-477666375-546388664-519053197,37456
2019-09-18 22:00:00,489225859-506225303-477697885-546424530-519088219,32125
2019-09-18 23:00:00,489231241-506230882-477702972-546430300-519093629,5465
2019-09-19 00:00:00,489257147-506255717-477725748-546455640-519119310,16385
2019-09-19 01:00:01,489284605-506283500-477750296-546484870-519148798,21236
2019-09-19 02:00:00,489312092-506313227-477778231-546514775-519178375,21613
2019-09-19 03:00:00,489339651-506341256-477805376-546546366-519207620,20815
2019-09-19 04:00:00,489364932-506369514-477832263-546576788-519236591,19185
2019-09-19 05:00:00,489390574-506398409-477859129-546604975-519264464,17877
2019-09-19 06:00:00,489416547-506425531-477886213-546633710-519292488,16453
2019-09-19 07:00:00,489444883-506453795-477913237-546663097-519323328,15785
2019-09-19 08:00:00,489472984-506481912-477942647-546695017-519354600,16435
2019-09-19 09:00:00,489502296-506511439-477973750-546727999-519386968,17743
2019-09-19 10:00:00,489535813-506545389-478005478-546763601-519420471,19269
2019-09-19 11:00:00,489571374-506603665-478039235-546803470-519457195,20936
2019-09-19 12:00:00,489611552-506654160-478077513-546847161-519497358,22365
2019-09-19 13:00:00,489656925-506697885-478119180-546893392-519543500,24262
2019-09-19 14:00:00,489707750-506752533-478165444-546944497-519594127,26652
2019-09-19 15:00:00,489756003-506800641-478212459-546996549-519643570,29482
2019-09-19 16:00:00,489804531-506849233-478260609-547050556-519692431,32179
2019-09-19 17:00:00,489851283-506895256-478305814-547101525-519739612,34928
2019-09-19 18:00:00,489894803-506940873-478351146-547149318-519784765,37007
2019-09-19 19:00:00,489936886-506983673-478392345-547199696-519827897,38152
2019-09-19 20:00:00,489978240-507025488-478433217-547241002-519876825,38621
2019-09-19 21:00:00,490023099-507066525-478470885-547284631-519917962,36403
2019-09-19 22:00:00,490058231-507103700-478503496-547321762-519953369,32271
2019-09-19 23:00:00,490088730-507135717-478532307-547354929-519985470,28105
2019-09-20 00:00:00,490115733-507164977-478557854-547384992-520014283,24192
2019-09-20 01:00:00,490141990-507192198-478583732-547414529-520043670,22296
2019-09-20 02:00:00,490168118-507220675-478609342-547443584-520072586,21686
2019-09-20 03:00:01,490194967-507250097-478635947-547473088-520101846,20684
2019-09-20 04:00:00,490221165-507277011-478663093-547501091-520129951,19323
2019-09-20 05:00:00,490247613-507304533-478689089-547528763-520157499,0
2019-09-20 06:00:01,490273040-507330917-478714730-547555061-520186881,16503
2019-09-20 07:00:00,490301694-507358652-478740778-547583465-520216037,16173
2019-09-20 08:00:00,490331195-507388500-478768535-547613061-520245973,16783
2019-09-20 09:00:00,490362351-507418613-478797818-547645249-520277214,18122
2019-09-20 10:00:00,490394097-507450531-478827864-547679095-520310006,19444
2019-09-20 11:00:01,490431626-507486055-478861869-547718317-520345227,21006
2019-09-20 12:00:00,490471451-507526888-478898917-547760148-520384751,22572
2019-09-20 13:00:00,490514706-507568161-478940713-547805876-520427594,24685
2019-09-20 14:00:00,490562557-507613611-478984079-547856445-520475074,27489
2019-09-20 15:00:00,490615686-507665698-479033741-547908384-520533608,30291
2019-09-20 16:00:00,490671799-507713282-479082739-547970326-520584047,33041
2019-09-20 17:00:01,490721893-507759413-479129192-548024836-520631510,35117
2019-09-20 18:00:00,490768032-507805407-479172757-548074400-520677032,36792
2019-09-20 19:00:00,490812028-507849207-479216997-548120789-520721379,37974
2019-09-20 20:00:01,490854739-507892800-479258901-548166820-520771729,38644
2019-09-20 21:00:00,490892545-507930926-479299666-548207445-520811919,37857
2019-09-20 22:00:00,490927086-507969892-479339422-548245165-520849434,35425
2019-09-20 23:00:00,490960298-508006367-479378242-548283611-520886537,31429
2019-09-21 00:00:00,490992038-508039181-479412312-548317716-520920641,28008
2019-09-21 01:00:00,491023474-508070765-479443026-548350829-520953896,24794
2019-09-21 02:00:00,491054304-508103571-479473745-548384216-520986210,23060
2019-09-21 03:00:00,491086535-508139926-479505560-548418117-521018299,22370
2019-09-21 04:00:00,491119414-508175565-479536052-548453119-521050060,21359
2019-09-21 05:00:00,491152861-508211591-479569289-548487602-521084223,20583
2019-09-21 06:00:00,491186021-508247553-479604604-548523388-521119914,20486
2019-09-21 07:00:00,491221410-508285792-479644088-548560329-521160174,21172
2019-09-21 08:00:00,491261487-508327087-479681922-548602685-521202757,23381
2019-09-21 09:00:00,491302776-508369191-479723440-548648132-521246921,25898
2019-09-21 10:00:00,491345322-508412920-479765410-548694423-521294732,28865
2019-09-21 11:00:00,491388843-508457242-479808259-548743863-521343560,30773
2019-09-21 12:00:00,491435469-508504347-479869489-548793842-521393302,32415
2019-09-21 13:00:00,491482383-508554144-479917450-548847308-521444752,34583
2019-09-21 14:00:00,491537690-508609674-479969656-548904861-521501312,36583
2019-09-21 15:00:00,491590249-508667301-480021755-548962255-521556962,38911
2019-09-21 16:00:00,491644818-508722972-480076250-549022873-521615911,40501
2019-09-21 17:00:00,491698888-508777527-480128055-549080988-521670032,41114
2019-09-21 18:00:00,491748382-508829071-480176895-549135749-521723697,41872
2019-09-21 19:00:00,491806627-508877320-480222958-549187584-521773951,42124
2019-09-21 20:00:00,491858261-508922138-480266239-549236410-521822708,42159
2019-09-21 21:00:00,491903377-508965723-480309905-549283886-521868677,41247
2019-09-21 22:00:00,491942989-509005317-480348324-549329155-521910478,39022
2019-09-21 23:00:00,491976791-509040000-480379998-549367012-521945472,34414
2019-09-22 00:00:00,492015119-509080608-480419200-549408404-521985645,30170
2019-09-22 01:00:00,492052861-509119662-480454622-549448522-522024638,26502
2019-09-22 02:00:00,492089668-509159417-480489669-549488629-522062420,24154
2019-09-22 03:00:00,492127382-509201873-480525237-549528878-522099767,22924
2019-09-22 04:00:00,492165124-509243306-480559910-549569511-522136217,22160
2019-09-22 05:00:00,492202911-509284339-480595738-549609164-522174312,21253
2019-09-22 06:00:00,492239906-509324261-480633084-549649383-522212877,21147
2019-09-22 07:00:00,492278484-509365496-480673525-549689844-522254421,21790
2019-09-22 08:00:00,492320352-509408271-480711960-549734319-522297185,24204
2019-09-22 09:00:00,492362388-509452397-480752530-549780369-522346091,27774
2019-09-22 10:00:01,492405713-509496018-480792918-549827185-522392331,30930
2019-09-22 11:00:00,492453547-509540065-480833831-549875854-522439514,33103
2019-09-22 12:00:01,492501549-509587885-480888622-549926925-522488614,34752
2019-09-22 13:00:00,492550601-509638242-480937232-549983155-522540867,36542
2019-09-22 14:00:00,492606040-509693115-480987118-550040373-522596575,38300
2019-09-22 15:00:00,492660086-509752670-481036730-550097892-522651849,40424
2019-09-22 16:00:00,492714592-509807124-481086625-550157519-522707427,42518
2019-09-22 17:00:00,492766330-509860293-481133753-550214887-522758026,43510
2019-09-22 18:00:00,492815069-509911778-481200175-550270688-522814990,43919
2019-09-22 19:00:00,492866088-509958247-481243551-550319898-522860329,44176
2019-09-22 20:00:00,492916078-510004960-481287689-550378528-522907966,43447
2019-09-22 21:00:00,492954924-510045204-481324189-550422538-522947967,40582
2019-09-22 22:00:00,492992022-510082908-481358033-550464735-522986364,36050
2019-09-22 23:00:00,493024182-510115159-481386982-550500761-523018451,30669
